config_id,case_id,expected_role,noise_condition,seed,n_true_events,n_readout_events,event_hits,false_alarms,recall,precision,F1,false_alarm_per_min,latency_median_ms,latency_iqr_ms,progression_violations,reset_failure_rate,state_dwell_time_error_ms,max_state_index,short_event_false_readout,transient_claim_for_sustained_only,hard_gate_pass
cfg_97c5e89129,no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_97c5e89129,short_40ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,40.0,0,False,False,True
cfg_97c5e89129,near_threshold_90ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,90.0,0,False,False,True
cfg_97c5e89129,threshold_crossing_120ms,positive,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,120.0,0,False,False,False
cfg_97c5e89129,sustained_200ms,positive,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,200.0,0,False,False,False
cfg_97c5e89129,long_400ms_plus,positive,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,460.0,0,False,False,False
cfg_97c5e89129,two_bursts_with_quiet_gap,positive,clean,0,2,0,0,0,0.0,,,0.0,,,0,0.0,400.0,0,False,False,False
cfg_97c5e89129,interrupted_burst,interrupted,clean,0,2,0,0,0,0.0,,,0.0,,,0,0.0,120.0,0,False,False,True
cfg_97c5e89129,power_shift_no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_371001a588,no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_371001a588,short_40ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,40.0,0,False,False,True
cfg_371001a588,near_threshold_90ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,90.0,0,False,False,True
cfg_371001a588,threshold_crossing_120ms,positive,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,120.0,0,False,False,False
cfg_371001a588,sustained_200ms,positive,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,200.0,0,False,False,False
cfg_371001a588,long_400ms_plus,positive,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,460.0,0,False,False,False
cfg_371001a588,two_bursts_with_quiet_gap,positive,clean,0,2,0,0,0,0.0,,,0.0,,,0,0.0,400.0,0,False,False,False
cfg_371001a588,interrupted_burst,interrupted,clean,0,2,0,0,0,0.0,,,0.0,,,0,0.0,120.0,0,False,False,True
cfg_371001a588,power_shift_no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_18d90374b6,no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_18d90374b6,short_40ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,40.0,0,False,False,True
cfg_18d90374b6,near_threshold_90ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,90.0,0,False,False,True
cfg_18d90374b6,threshold_crossing_120ms,positive,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,120.0,0,False,False,False
cfg_18d90374b6,sustained_200ms,positive,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,200.0,0,False,False,False
cfg_18d90374b6,long_400ms_plus,positive,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,460.0,0,False,False,False
cfg_18d90374b6,two_bursts_with_quiet_gap,positive,clean,0,2,0,0,0,0.0,,,0.0,,,0,0.0,400.0,0,False,False,False
cfg_18d90374b6,interrupted_burst,interrupted,clean,0,2,0,0,0,0.0,,,0.0,,,0,0.0,120.0,0,False,False,True
cfg_18d90374b6,power_shift_no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_a94801a610,no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_a94801a610,short_40ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,40.0,0,False,False,True
cfg_a94801a610,near_threshold_90ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,90.0,0,False,False,True
cfg_a94801a610,threshold_crossing_120ms,positive,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,120.0,0,False,False,False
cfg_a94801a610,sustained_200ms,positive,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,200.0,0,False,False,False
cfg_a94801a610,long_400ms_plus,positive,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,460.0,0,False,False,False
cfg_a94801a610,two_bursts_with_quiet_gap,positive,clean,0,2,0,0,0,0.0,,,0.0,,,0,0.0,400.0,0,False,False,False
