config_id,case_id,expected_role,noise_condition,seed,n_true_events,n_readout_events,event_hits,false_alarms,recall,precision,F1,false_alarm_per_min,latency_median_ms,latency_iqr_ms,progression_violations,reset_failure_rate,state_dwell_time_error_ms,max_state_index,short_event_false_readout,transient_claim_for_sustained_only,hard_gate_pass
cfg_6675dee412,no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_6675dee412,short_40ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,39.0,1,False,False,True
cfg_6675dee412,near_threshold_90ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,34.0,2,False,False,True
cfg_6675dee412,threshold_crossing_120ms,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,31.0,2,False,False,True
cfg_6675dee412,sustained_200ms,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,22.0,3,False,False,True
cfg_6675dee412,long_400ms_plus,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,8.0,4,False,False,True
cfg_6675dee412,two_bursts_with_quiet_gap,positive,clean,0,2,2,2,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,43.0,3,False,False,True
cfg_6675dee412,interrupted_burst,interrupted,clean,0,2,0,0,0,0.0,,,0.0,,,0,0.0,74.0,1,False,False,True
cfg_6675dee412,power_shift_no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_6675dee412,sustained_only,negative_control,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,35.0,4,False,True,True
cfg_264b26d722,no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_264b26d722,short_40ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,39.0,1,False,False,True
cfg_264b26d722,near_threshold_90ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,26.0,2,False,False,True
cfg_264b26d722,threshold_crossing_120ms,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,18.0,2,False,False,True
cfg_264b26d722,sustained_200ms,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,3.0,3,False,False,True
cfg_264b26d722,long_400ms_plus,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,71.0,4,False,False,True
cfg_264b26d722,two_bursts_with_quiet_gap,positive,clean,0,2,2,2,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,5.0,3,False,False,True
cfg_264b26d722,interrupted_burst,interrupted,clean,0,2,0,0,0,0.0,,,0.0,,,0,0.0,68.0,1,False,False,True
cfg_264b26d722,power_shift_no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_264b26d722,sustained_only,negative_control,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,1.0,134.0,4,False,True,False
cfg_b6b55f4a5d,no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_b6b55f4a5d,short_40ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,39.0,1,False,False,True
cfg_b6b55f4a5d,near_threshold_90ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,31.0,2,False,False,True
cfg_b6b55f4a5d,threshold_crossing_120ms,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,26.0,2,False,False,True
cfg_b6b55f4a5d,sustained_200ms,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,13.0,3,False,False,True
cfg_b6b55f4a5d,long_400ms_plus,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,31.0,4,False,False,True
cfg_b6b55f4a5d,two_bursts_with_quiet_gap,positive,clean,0,2,2,2,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,25.0,3,False,False,True
cfg_b6b55f4a5d,interrupted_burst,interrupted,clean,0,2,0,0,0,0.0,,,0.0,,,0,0.0,72.0,1,False,False,True
cfg_b6b55f4a5d,power_shift_no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_b6b55f4a5d,sustained_only,negative_control,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,72.0,4,False,True,True
cfg_1228312d82,no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_1228312d82,short_40ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,40.0,0,False,False,True
cfg_1228312d82,near_threshold_90ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,43.0,1,False,False,True
cfg_1228312d82,threshold_crossing_120ms,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,99.0,0.0,0,0.0,38.0,2,False,False,True
cfg_1228312d82,sustained_200ms,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,99.0,0.0,0,0.0,24.0,3,False,False,True
cfg_1228312d82,long_400ms_plus,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,99.0,0.0,0,0.0,20.0,4,False,False,True
cfg_1228312d82,two_bursts_with_quiet_gap,positive,clean,0,2,2,2,0,1.0,1.0,1.0,0.0,99.0,0.0,0,0.0,49.0,3,False,False,True
cfg_1228312d82,interrupted_burst,interrupted,clean,0,2,0,0,0,0.0,,,0.0,,,0,0.0,96.0,1,False,False,True
cfg_1228312d82,power_shift_no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_1228312d82,sustained_only,negative_control,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,99.0,0.0,0,0.0,60.0,4,False,True,True
cfg_bf892d3d6f,no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_bf892d3d6f,short_40ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,39.0,1,False,False,True
cfg_bf892d3d6f,near_threshold_90ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,29.0,2,False,False,True
cfg_bf892d3d6f,threshold_crossing_120ms,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,23.0,2,False,False,True
cfg_bf892d3d6f,sustained_200ms,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,6.0,3,False,False,True
cfg_bf892d3d6f,long_400ms_plus,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,49.0,4,False,False,True
cfg_bf892d3d6f,two_bursts_with_quiet_gap,positive,clean,0,2,2,2,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,12.0,3,False,False,True
cfg_bf892d3d6f,interrupted_burst,interrupted,clean,0,2,0,0,0,0.0,,,0.0,,,0,0.0,70.0,1,False,False,True
cfg_bf892d3d6f,power_shift_no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_bf892d3d6f,sustained_only,negative_control,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,99.0,4,False,True,True
cfg_3716707c97,no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_3716707c97,short_40ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,39.0,1,False,False,True
cfg_3716707c97,near_threshold_90ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,25.0,2,False,False,True
cfg_3716707c97,threshold_crossing_120ms,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,17.0,2,False,False,True
cfg_3716707c97,sustained_200ms,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,5.0,3,False,False,True
cfg_3716707c97,long_400ms_plus,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,78.0,4,False,False,True
cfg_3716707c97,two_bursts_with_quiet_gap,positive,clean,0,2,2,2,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,11.0,3,False,False,True
cfg_3716707c97,interrupted_burst,interrupted,clean,0,2,0,0,0,0.0,,,0.0,,,0,0.0,68.0,1,False,False,True
cfg_3716707c97,power_shift_no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_3716707c97,sustained_only,negative_control,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,1.0,146.0,4,False,True,False
cfg_f24a10c6ec,no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_f24a10c6ec,short_40ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,39.0,1,False,False,True
cfg_f24a10c6ec,near_threshold_90ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,28.0,2,False,False,True
cfg_f24a10c6ec,threshold_crossing_120ms,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,21.0,2,False,False,True
cfg_f24a10c6ec,sustained_200ms,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,2.0,3,False,False,True
cfg_f24a10c6ec,long_400ms_plus,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,59.0,4,False,False,True
cfg_f24a10c6ec,two_bursts_with_quiet_gap,positive,clean,0,2,2,2,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,4.0,3,False,False,True
cfg_f24a10c6ec,interrupted_burst,interrupted,clean,0,2,0,0,0,0.0,,,0.0,,,0,0.0,70.0,1,False,False,True
cfg_f24a10c6ec,power_shift_no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_f24a10c6ec,sustained_only,negative_control,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,1.0,115.0,4,False,True,False
cfg_5972859884,no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_5972859884,short_40ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,39.0,1,False,False,True
cfg_5972859884,near_threshold_90ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,31.0,2,False,False,True
cfg_5972859884,threshold_crossing_120ms,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,26.0,2,False,False,True
cfg_5972859884,sustained_200ms,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,13.0,3,False,False,True
cfg_5972859884,long_400ms_plus,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,31.0,4,False,False,True
cfg_5972859884,two_bursts_with_quiet_gap,positive,clean,0,2,2,2,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,25.0,3,False,False,True
cfg_5972859884,interrupted_burst,interrupted,clean,0,2,0,0,0,0.0,,,0.0,,,0,0.0,72.0,1,False,False,True
cfg_5972859884,power_shift_no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_5972859884,sustained_only,negative_control,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,72.0,4,False,True,True
cfg_b5d782fc2f,no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_b5d782fc2f,short_40ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,39.0,1,False,False,True
cfg_b5d782fc2f,near_threshold_90ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,31.0,2,False,False,True
cfg_b5d782fc2f,threshold_crossing_120ms,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,25.0,2,False,False,True
cfg_b5d782fc2f,sustained_200ms,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,11.0,3,False,False,True
cfg_b5d782fc2f,long_400ms_plus,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,34.0,4,False,False,True
cfg_b5d782fc2f,two_bursts_with_quiet_gap,positive,clean,0,2,2,2,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,23.0,3,False,False,True
cfg_b5d782fc2f,interrupted_burst,interrupted,clean,0,2,0,0,0,0.0,,,0.0,,,0,0.0,72.0,1,False,False,True
cfg_b5d782fc2f,power_shift_no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_b5d782fc2f,sustained_only,negative_control,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,76.0,4,False,True,True
cfg_85618500bc,no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_85618500bc,short_40ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,39.0,1,False,False,True
cfg_85618500bc,near_threshold_90ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,32.0,2,False,False,True
cfg_85618500bc,threshold_crossing_120ms,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,28.0,2,False,False,True
cfg_85618500bc,sustained_200ms,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,17.0,3,False,False,True
cfg_85618500bc,long_400ms_plus,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,19.0,4,False,False,True
cfg_85618500bc,two_bursts_with_quiet_gap,positive,clean,0,2,2,2,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,34.0,3,False,False,True
cfg_85618500bc,interrupted_burst,interrupted,clean,0,2,0,0,0,0.0,,,0.0,,,0,0.0,74.0,1,False,False,True
cfg_85618500bc,power_shift_no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_85618500bc,sustained_only,negative_control,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,53.0,4,False,True,True
cfg_5893d9ac09,no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_5893d9ac09,short_40ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,39.0,1,False,False,True
cfg_5893d9ac09,near_threshold_90ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,28.0,2,False,False,True
cfg_5893d9ac09,threshold_crossing_120ms,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,21.0,2,False,False,True
cfg_5893d9ac09,sustained_200ms,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,2.0,3,False,False,True
cfg_5893d9ac09,long_400ms_plus,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,59.0,4,False,False,True
cfg_5893d9ac09,two_bursts_with_quiet_gap,positive,clean,0,2,2,2,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,4.0,3,False,False,True
cfg_5893d9ac09,interrupted_burst,interrupted,clean,0,2,0,0,0,0.0,,,0.0,,,0,0.0,70.0,1,False,False,True
cfg_5893d9ac09,power_shift_no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_5893d9ac09,sustained_only,negative_control,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,1.0,115.0,4,False,True,False
cfg_92dbb346de,no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_92dbb346de,short_40ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,39.0,1,False,False,True
cfg_92dbb346de,near_threshold_90ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,33.0,2,False,False,True
cfg_92dbb346de,threshold_crossing_120ms,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,29.0,2,False,False,True
cfg_92dbb346de,sustained_200ms,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,18.0,3,False,False,True
cfg_92dbb346de,long_400ms_plus,positive,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,16.0,4,False,False,True
cfg_92dbb346de,two_bursts_with_quiet_gap,positive,clean,0,2,2,2,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,37.0,3,False,False,True
cfg_92dbb346de,interrupted_burst,interrupted,clean,0,2,0,0,0,0.0,,,0.0,,,0,0.0,74.0,1,False,False,True
cfg_92dbb346de,power_shift_no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_92dbb346de,sustained_only,negative_control,clean,0,1,1,1,0,1.0,1.0,1.0,0.0,79.0,0.0,0,0.0,47.0,4,False,True,True
cfg_22ebb026fa,no_burst,negative_control,clean,0,0,0,0,0,,1.0,,0.0,,,0,0.0,0.0,0,False,False,True
cfg_22ebb026fa,short_40ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,39.0,1,False,False,True
cfg_22ebb026fa,near_threshold_90ms,short_negative,clean,0,1,0,0,0,0.0,,,0.0,,,0,0.0,25.0,2,False,False,True
