config_id,population_exc,population_inh,duration_thresholds_ms,sustain_weight,forward_weight,reset_strength,quiet_gain,clean_hard_gate_pass,case_pass_rate,positive_recall_mean,negative_false_alarm_per_min_sum,latency_median_ms,progression_violations_total,reset_failure_rate_max,pareto_score
cfg_264b26d722,8,2,"50,100,200,400",1.25,1.25,2.0,0.5,True,1.0,1.0,0.0,79.0,0,0.0,0.921
cfg_6675dee412,16,4,"40,80,160,320",1.0,1.0,1.5,1.25,True,1.0,1.0,0.0,79.0,0,0.0,0.921
cfg_35920bf46c,16,4,"50,100,200,400",0.75,1.25,1.5,0.5,True,1.0,1.0,0.0,79.0,0,0.0,0.921
cfg_b5d782fc2f,16,4,"50,100,200,400",1.0,1.25,2.0,0.75,True,1.0,1.0,0.0,79.0,0,0.0,0.921
cfg_22ebb026fa,16,4,"50,100,200,400",1.5,1.25,0.75,1.25,True,1.0,1.0,0.0,79.0,0,0.0,0.921
cfg_b6b55f4a5d,32,8,"40,80,160,320",0.5,1.0,1.25,1.0,True,1.0,1.0,0.0,79.0,0,0.0,0.921
cfg_86de9462c3,32,8,"40,80,160,320",0.75,1.0,1.5,1.5,True,1.0,1.0,0.0,79.0,0,0.0,0.921
cfg_5972859884,32,8,"40,80,160,320",1.5,1.0,1.0,1.25,True,1.0,1.0,0.0,79.0,0,0.0,0.921
cfg_5893d9ac09,32,8,"50,100,200,400",0.5,1.25,1.5,0.75,True,1.0,1.0,0.0,79.0,0,0.0,0.921
cfg_92dbb346de,32,8,"50,100,200,400",0.75,1.25,2.0,1.0,True,1.0,1.0,0.0,79.0,0,0.0,0.921
cfg_f24a10c6ec,32,8,"50,100,200,400",1.25,1.25,0.75,1.5,True,1.0,1.0,0.0,79.0,0,0.0,0.921
cfg_83d3934b23,32,8,"50,100,200,400",1.5,1.25,1.25,0.75,True,1.0,1.0,0.0,79.0,0,0.0,0.921
cfg_bf892d3d6f,64,16,"40,80,160,320",0.5,1.0,2.0,0.5,True,1.0,1.0,0.0,79.0,0,0.0,0.921
cfg_3716707c97,64,16,"40,80,160,320",1.0,1.0,0.75,1.0,True,1.0,1.0,0.0,79.0,0,0.0,0.921
cfg_85618500bc,64,16,"40,80,160,320",1.25,1.0,1.0,1.5,True,1.0,1.0,0.0,79.0,0,0.0,0.921
