relative_path,patient_id,task_guess,n_channels,n_samples,duration_sec_if_possible,data_numeric,nan_count,nan_percent,inf_count,inf_percent,all_zero_channel_count,all_zero_channels,constant_channel_count,constant_channels,aggregate_mean,aggregate_std,aggregate_min,aggregate_max,channels_summarized,notes
Data_Code_PPN_JNeurosci_2021/PreprocessedData&Code/MSA01/PPN-Sub01_Rest.mat,MSA01,RestSitting,31,314428,153.529297,true,0,0.0,0,0.0,0,,0,,989.627253448428,5419.774744729124,-284.6000061035156,31624.0,31,
Data_Code_PPN_JNeurosci_2021/PreprocessedData&Code/MSA01/PPN-Sub01_Step_Sitting.mat,MSA01,StepSitting,31,1940929,947.719238,true,0,0.0,0,0.0,0,,0,,6207.537777831908,41799.013689098894,-67075.1337890625,624912.5,31,
Data_Code_PPN_JNeurosci_2021/PreprocessedData&Code/MSA01/PPN-Sub01_Step_Standing.mat,MSA01,StepStanding,31,963834,470.62207,true,0,0.0,0,0.0,0,,0,,6663.1905631110685,42971.24271320063,-635.7999877929688,621095.875,31,
Data_Code_PPN_JNeurosci_2021/PreprocessedData&Code/MSA02/PPN_Sub02_Rest.mat,MSA02,RestSitting,34,399562,195.098633,true,0,0.0,0,0.0,0,,0,,75.68422399410261,598.6497115211675,-575.0599975585938,4054.030029296875,34,
Data_Code_PPN_JNeurosci_2021/PreprocessedData&Code/MSA02/PPN_Sub02_Stepping_Sitting.mat,MSA02,StepSitting,34,1429336,697.917969,true,0,0.0,0,0.0,0,,0,,5443.60325764032,38940.451363094006,-919.780029296875,625171.4375,34,
Data_Code_PPN_JNeurosci_2021/PreprocessedData&Code/MSA02/PPN_Sub02_Stepping_Standing.mat,MSA02,StepStanding,34,605779,295.790527,true,0,0.0,0,0.0,0,,0,,6168.525102457937,41892.32386454621,-628.4199829101562,621270.4375,34,
Data_Code_PPN_JNeurosci_2021/PreprocessedData&Code/MSA03/PPN_MSA_Patient_JR_Rest.mat,MSA03,RestSitting,34,281728,137.5625,true,0,0.0,0,0.0,0,,0,,203351.64433131897,825362.161342915,-509671.6790364584,5182615.5,34,
Data_Code_PPN_JNeurosci_2021/PreprocessedData&Code/MSA03/PPN_MSA_Patient_JR_StepSitting.mat,MSA03,StepSitting,35,1165308,568.998047,true,0,0.0,0,0.0,3,R6;LLeg;Ligh,3,R6;LLeg;Ligh,4527.311252099242,33591.648365230554,-62923.256184895836,362116.78125,35,has_all_zero_channels;has_constant_channels
Data_Code_PPN_JNeurosci_2021/PreprocessedData&Code/MSA04/PPN_Rest_08102019.mat,MSA04,RestSitting,25,403492,197.017578,true,0,0.0,0,0.0,0,,0,,67534.88577331229,303011.2554688612,-63200.48828125,1531813.75,25,
Data_Code_PPN_JNeurosci_2021/PreprocessedData&Code/MSA04/PPN_StepSitting_08102019.mat,MSA04,StepSitting,25,1061584,518.351562,true,0,0.0,0,0.0,0,,0,,77307.84805800264,309565.9442139431,-69555.34375,1550606.25,25,
Data_Code_PPN_JNeurosci_2021/PreprocessedData&Code/PD01/RL2_Rest_1_Flt.mat,PD01,RestSitting,17,427018,208.504883,true,0,0.0,0,0.0,0,,0,,234.06087090201694,7559.075407387851,-187063.5,26270.0,17,
Data_Code_PPN_JNeurosci_2021/PreprocessedData&Code/PD01/RL2_Standing_2_Flt.mat,PD01,RestStanding,17,244856,119.558594,true,0,0.0,0,0.0,0,,0,,-6481.1177801187705,21711.42081961044,-214683.296875,113415.796875,17,
Data_Code_PPN_JNeurosci_2021/PreprocessedData&Code/PD01/Walk.mat,PD01,FreeWalking,16,169791,82.905762,true,0,0.0,0,0.0,0,,0,,-8226.47435296897,27693.63616562598,-264805.1875,96454.296875,16,
Data_Code_PPN_JNeurosci_2021/PreprocessedData&Code/PD02/Sitting_1.mat,PD02,RestSitting,27,261031,127.456543,true,0,0.0,0,0.0,0,,0,,-686.7888101778511,13359.49740182903,-51854.8984375,40251.8984375,27,
Data_Code_PPN_JNeurosci_2021/PreprocessedData&Code/PD02/Stand2.mat,PD02,RestStanding,27,138038,67.401367,true,0,0.0,0,0.0,0,,0,,511.7886837299436,7052.281082864039,-32348.599609375,40029.6015625,27,
Data_Code_PPN_JNeurosci_2021/PreprocessedData&Code/PD02/Walk.mat,PD02,FreeWalking,27,1026894,501.413086,true,0,0.0,0,0.0,0,,0,,-73.42857249178283,6477.113373281714,-218308.09375,117606.203125,27,
Data_Code_PPN_JNeurosci_2021/PreprocessedData&Code/PD03/Turner_LeftSide_Rest.mat,PD03,RestSitting,21,296866,144.954102,true,0,0.0,0,0.0,0,,0,,11.73070152046224,591.7707341739899,-2117.10009765625,2555.0,21,
Data_Code_PPN_JNeurosci_2021/PreprocessedData&Code/PD03/Turner_LeftSide_Walk.mat,PD03,FreeWalking,26,827626,404.114258,true,0,0.0,0,0.0,0,,0,,288.05876703671294,8910.7578657284,-25795.69921875,17740.80078125,26,
Data_Code_PPN_JNeurosci_2021/PreprocessedData&Code/PD04/PP01_RestSit.mat,PD04,RestSitting,30,233197,113.865723,true,0,0.0,0,0.0,0,,0,,-259.0375002260779,3620.6839766921066,-36498.5,23462.19921875,30,
Data_Code_PPN_JNeurosci_2021/PreprocessedData&Code/PD04/PP01_RestStand.mat,PD04,RestStanding,30,128090,62.543945,true,0,0.0,0,0.0,0,,0,,852.1260899345594,5185.431844414587,-24930.099609375,40029.6015625,30,
Data_Code_PPN_JNeurosci_2021/PreprocessedData&Code/PD05/PP03_Rest.mat,PD05,RestSitting,20,411723,201.036621,true,0,0.0,0,0.0,0,,0,,127225.80272531701,446412.3342347883,-157272.859375,1890563.125,20,
Data_Code_PPN_JNeurosci_2021/PreprocessedData&Code/PD05/PP03_RestStand.mat,PD05,RestStanding,17,398473,194.566895,true,0,0.0,0,0.0,0,,0,,1558.6194090913932,7846.782163961885,-59.400001525878906,894554.75,17,
Data_Code_PPN_JNeurosci_2021/PreprocessedData&Code/PD06/BrianBrist_RestStanding_2_Flt.mat,PD06,RestStanding,18,139265,68.000488,true,0,0.0,0,0.0,0,,0,,8107.009542580774,26015.403344678376,-50222.8984375,170599.328125,18,
Data_Code_PPN_JNeurosci_2021/PreprocessedData&Code/PD06/BrianBrist_Sitting_Flt.mat,PD06,RestSitting,20,333550,162.866211,true,0,0.0,0,0.0,0,,0,,172.11923112792823,3557.340765273474,-48771.80078125,26446.80078125,20,
Data_Code_PPN_JNeurosci_2021/PreprocessedData&Code/PD07/HarlendNigel1_1_Rst.mat,PD07,RestSitting,20,488410,238.481445,true,0,0.0,0,0.0,0,,0,,219.71035854163,1378.1912256568073,-3981.800048828125,3365.300048828125,20,
Data_Code_PPN_JNeurosci_2021/PreprocessedData&Code/PD07/HarlendNigel1_7_RestStanding.mat,PD07,RestStanding,19,122881,60.000488,true,0,0.0,0,0.0,0,,0,,0.03808109830599727,19231.27679314106,-29158.0,58698.69921875,19,
Data_Code_PPN_JNeurosci_2021/RawData/MSA01/PPN-Sub01_Rest.mat,MSA01,RestSitting,31,314428,153.529297,true,0,0.0,0,0.0,0,,0,,989.627253448428,5419.774744729124,-284.6000061035156,31624.0,31,
Data_Code_PPN_JNeurosci_2021/RawData/MSA01/PPN-Sub01_Step_Sitting.mat,MSA01,StepSitting,31,1940929,947.719238,true,0,0.0,0,0.0,0,,0,,6207.537777831908,41799.013689098894,-67075.1337890625,624912.5,31,
Data_Code_PPN_JNeurosci_2021/RawData/MSA01/PPN-Sub01_Step_Standing.mat,MSA01,StepStanding,31,963834,470.62207,true,0,0.0,0,0.0,0,,0,,6663.1905631110685,42971.24271320063,-635.7999877929688,621095.875,31,
Data_Code_PPN_JNeurosci_2021/RawData/MSA02/PPN_Sub02_Rest.mat,MSA02,RestSitting,34,399562,195.098633,true,0,0.0,0,0.0,0,,0,,75.68422399410261,598.6497115211675,-575.0599975585938,4054.030029296875,34,
Data_Code_PPN_JNeurosci_2021/RawData/MSA02/PPN_Sub02_Stepping_Sitting.mat,MSA02,StepSitting,34,1429336,697.917969,true,0,0.0,0,0.0,0,,0,,5443.60325764032,38940.451363094006,-919.780029296875,625171.4375,34,
Data_Code_PPN_JNeurosci_2021/RawData/MSA02/PPN_Sub02_Stepping_Standing.mat,MSA02,StepStanding,34,605779,295.790527,true,0,0.0,0,0.0,0,,0,,6168.525102457937,41892.32386454621,-628.4199829101562,621270.4375,34,
Data_Code_PPN_JNeurosci_2021/RawData/MSA03/PPN_MSA_Patient_JR_Rest.mat,MSA03,RestSitting,34,281728,137.5625,true,0,0.0,0,0.0,0,,0,,203351.64433131897,825362.161342915,-509671.6790364584,5182615.5,34,
Data_Code_PPN_JNeurosci_2021/RawData/MSA03/PPN_MSA_Patient_JR_StepSitting.mat,MSA03,StepSitting,35,1165308,568.998047,true,0,0.0,0,0.0,3,R6;LLeg;Ligh,3,R6;LLeg;Ligh,4527.311252099242,33591.648365230554,-62923.256184895836,362116.78125,35,has_all_zero_channels;has_constant_channels
Data_Code_PPN_JNeurosci_2021/RawData/MSA04/PPN_Rest_08102019.mat,MSA04,RestSitting,25,403492,197.017578,true,0,0.0,0,0.0,0,,0,,67534.88577331229,303011.2554688612,-63200.48828125,1531813.75,25,
Data_Code_PPN_JNeurosci_2021/RawData/MSA04/PPN_StepSitting_08102019.mat,MSA04,StepSitting,25,1061584,518.351562,true,0,0.0,0,0.0,0,,0,,77307.84805800264,309565.9442139431,-69555.34375,1550606.25,25,
Data_Code_PPN_JNeurosci_2021/RawData/PD01/RL2_Rest_1_Flt.mat,PD01,RestSitting,17,427018,208.504883,true,0,0.0,0,0.0,0,,0,,234.06087090201694,7559.075407387851,-187063.5,26270.0,17,
Data_Code_PPN_JNeurosci_2021/RawData/PD01/RL2_Standing_2_Flt.mat,PD01,RestStanding,17,244856,119.558594,true,0,0.0,0,0.0,0,,0,,-6481.1177801187705,21711.42081961044,-214683.296875,113415.796875,17,
Data_Code_PPN_JNeurosci_2021/RawData/PD01/Walk.mat,PD01,FreeWalking,16,169791,82.905762,true,0,0.0,0,0.0,0,,0,,-8226.47435296897,27693.63616562598,-264805.1875,96454.296875,16,
Data_Code_PPN_JNeurosci_2021/RawData/PD02/Sitting_1.mat,PD02,RestSitting,27,261031,127.456543,true,0,0.0,0,0.0,0,,0,,-686.7888101778511,13359.49740182903,-51854.8984375,40251.8984375,27,
Data_Code_PPN_JNeurosci_2021/RawData/PD02/Stand2.mat,PD02,RestStanding,27,138038,67.401367,true,0,0.0,0,0.0,0,,0,,511.7886837299436,7052.281082864039,-32348.599609375,40029.6015625,27,
Data_Code_PPN_JNeurosci_2021/RawData/PD02/Walk.mat,PD02,FreeWalking,27,1026894,501.413086,true,0,0.0,0,0.0,0,,0,,-73.42857249178283,6477.113373281714,-218308.09375,117606.203125,27,
Data_Code_PPN_JNeurosci_2021/RawData/PD03/Turner_LeftSide_Rest.mat,PD03,RestSitting,21,296866,144.954102,true,0,0.0,0,0.0,0,,0,,11.73070152046224,591.7707341739899,-2117.10009765625,2555.0,21,
Data_Code_PPN_JNeurosci_2021/RawData/PD03/Turner_LeftSide_Walk.mat,PD03,FreeWalking,26,827626,404.114258,true,0,0.0,0,0.0,0,,0,,288.05876703671294,8910.7578657284,-25795.69921875,17740.80078125,26,
Data_Code_PPN_JNeurosci_2021/RawData/PD04/PP01_RestSit.mat,PD04,RestSitting,30,233197,113.865723,true,0,0.0,0,0.0,0,,0,,-259.0375002260779,3620.6839766921066,-36498.5,23462.19921875,30,
Data_Code_PPN_JNeurosci_2021/RawData/PD04/PP01_RestStand.mat,PD04,RestStanding,30,128090,62.543945,true,0,0.0,0,0.0,0,,0,,852.1260899345594,5185.431844414587,-24930.099609375,40029.6015625,30,
Data_Code_PPN_JNeurosci_2021/RawData/PD05/PP03_Rest.mat,PD05,RestSitting,20,411723,201.036621,true,0,0.0,0,0.0,0,,0,,127225.80272531701,446412.3342347883,-157272.859375,1890563.125,20,
Data_Code_PPN_JNeurosci_2021/RawData/PD05/PP03_RestStand.mat,PD05,RestStanding,17,398473,194.566895,true,0,0.0,0,0.0,0,,0,,1558.6194090913932,7846.782163961885,-59.400001525878906,894554.75,17,
Data_Code_PPN_JNeurosci_2021/RawData/PD06/BrianBrist_RestStanding_2_Flt.mat,PD06,RestStanding,18,139265,68.000488,true,0,0.0,0,0.0,0,,0,,8107.009542580774,26015.403344678376,-50222.8984375,170599.328125,18,
Data_Code_PPN_JNeurosci_2021/RawData/PD06/BrianBrist_Sitting_Flt.mat,PD06,RestSitting,20,333550,162.866211,true,0,0.0,0,0.0,0,,0,,172.11923112792823,3557.340765273474,-48771.80078125,26446.80078125,20,
Data_Code_PPN_JNeurosci_2021/RawData/PD07/HarlendNigel1_1_Rst.mat,PD07,RestSitting,20,488410,238.481445,true,0,0.0,0,0.0,0,,0,,219.71035854163,1378.1912256568073,-3981.800048828125,3365.300048828125,20,
Data_Code_PPN_JNeurosci_2021/RawData/PD07/HarlendNigel1_7_RestStanding.mat,PD07,RestStanding,19,122881,60.000488,true,0,0.0,0,0.0,0,,0,,0.03808109830599727,19231.27679314106,-29158.0,58698.69921875,19,
