relative_path,parent_dir,top_level_module_guess,extension,size_bytes,size_mb,file_name,stem,inferred_subject_id,inferred_group,inferred_analysis_part,possible_figure_mapping,is_mat_file,is_m_file,is_csv_file,is_text_file,is_excel_file,is_zip_file,is_possible_raw_lfp,is_possible_behavioral_data,is_possible_force_data,is_possible_event_file,is_possible_stim_file,is_possible_result_file,is_possible_code_file,is_possible_fieldtrip_dependency,is_possible_scan_or_identifiable_file,notes
Force_Scripts/.DS_Store,Force_Scripts,unknown,[none],8196,0.007816,.DS_Store,.DS_Store,,unknown,unknown,unknown,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,macOS metadata stub
Force_Scripts/1BehavioralData/.DS_Store,Force_Scripts/1BehavioralData,Behavioral force analysis / Figure 1,[none],6148,0.005863,.DS_Store,.DS_Store,,unknown,behavioral,fig1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,macOS metadata stub
Force_Scripts/1BehavioralData/CompareDemographicsLevodopaMVC.m,Force_Scripts/1BehavioralData,Behavioral force analysis / Figure 1,.m,1077,0.001027,CompareDemographicsLevodopaMVC.m,CompareDemographicsLevodopaMVC,,unknown,behavioral,fig1,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,
Force_Scripts/1BehavioralData/ExtractData.m,Force_Scripts/1BehavioralData,Behavioral force analysis / Figure 1,.m,585,0.000558,ExtractData.m,ExtractData,,unknown,behavioral,fig1,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,
Force_Scripts/1BehavioralData/ExtractData_HC.m,Force_Scripts/1BehavioralData,Behavioral force analysis / Figure 1,.m,587,0.000560,ExtractData_HC.m,ExtractData_HC,,unknown,behavioral,fig1,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,
Force_Scripts/1BehavioralData/Forceparameters.m,Force_Scripts/1BehavioralData,Behavioral force analysis / Figure 1,.m,2491,0.002376,Forceparameters.m,Forceparameters,,unknown,behavioral,fig1,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,
Force_Scripts/1BehavioralData/Forces_across.m,Force_Scripts/1BehavioralData,Behavioral force analysis / Figure 1,.m,419,0.000400,Forces_across.m,Forces_across,,unknown,behavioral,fig1,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,
Force_Scripts/1BehavioralData/Forces_within.m,Force_Scripts/1BehavioralData,Behavioral force analysis / Figure 1,.m,763,0.000728,Forces_within.m,Forces_within,,unknown,behavioral,fig1,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,
Force_Scripts/1BehavioralData/GetEvents_HC.m,Force_Scripts/1BehavioralData,Behavioral force analysis / Figure 1,.m,887,0.000846,GetEvents_HC.m,GetEvents_HC,,unknown,behavioral,fig1,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,
Force_Scripts/1BehavioralData/GetEvents_PD.m,Force_Scripts/1BehavioralData,Behavioral force analysis / Figure 1,.m,805,0.000768,GetEvents_PD.m,GetEvents_PD,,unknown,behavioral,fig1,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,
