relative_path,file_name,module_guess,n_lines,is_function,function_name_if_any,script_or_function_guess,first_comment_block_summary,mentions_fieldtrip,ft_functions_called,mentions_fitlme_or_lme,mentions_permutation_or_cluster,mentions_force_processing,mentions_lfp_processing,mentions_stimulation_processing,mentions_psychopy_or_events,mentions_leaddbs_or_imaging,hardcoded_paths_found,load_calls_found,save_calls_found,read_calls_found,write_calls_found,input_variables_or_paths_guess,output_variables_or_paths_guess,figures_or_plotting_guess,notes
Force_Scripts/1BehavioralData/CompareDemographicsLevodopaMVC.m,CompareDemographicsLevodopaMVC.m,Behavioral force analysis / Figure 1,32,false,,script,Compare demographics,false,,false,false,true,false,true,false,false,,,,,,,,,
Force_Scripts/1BehavioralData/ExtractData.m,ExtractData.m,Behavioral force analysis / Figure 1,22,false,,script,(i) Make A matrix with relevant variables,false,,false,false,true,true,false,true,false,,,% save matrix (saved in BehAna scripts) with 5 columns for electrophysiology,,,,% save matrix (saved in BehAna scripts) with 5 columns for electrophysiology,,
Force_Scripts/1BehavioralData/ExtractData_HC.m,ExtractData_HC.m,Behavioral force analysis / Figure 1,22,false,,script,(i) Make A matrix with relevant variables,false,,false,false,true,true,false,true,false,,,% save matrix (saved in BehAna scripts) with 5 columns for electrophysiology,,,,% save matrix (saved in BehAna scripts) with 5 columns for electrophysiology,,
Force_Scripts/1BehavioralData/Forceparameters.m,Forceparameters.m,Behavioral force analysis / Figure 1,68,true,Forceparameters,function,Downsample,false,,false,false,true,true,true,true,false,,,"OptimalForce_all=Events(:,2); % save this to have optimal force also for invalid trials",,,,"OptimalForce_all=Events(:,2); % save this to have optimal force also for invalid trials","figure(1);;subplot(5,5,i); plot(RespTrial(i,:)); title(num2str(i));hold on;;figure(2);;subplot(5,5,i-25); plot(RespTrial(i,:)); title(num2str(i));hold on;;figure(3);;subplot(5,5,i-50); plot(RespTrial(i,:)); title(num2str(i));hold on;;figure(4);;subplot(5,5,i-75); plot(RespTrial(i,:)); title(num2str(i));hold on;",
Force_Scripts/1BehavioralData/Forces_across.m,Forces_across.m,Behavioral force analysis / Figure 1,18,true,Forces_across,function,,false,,false,false,true,false,false,false,false,,,,,,,,"figure(Subj+1);subplot(1,2,1);plot(xaxis, ForceS(:,t),'k');subplot(1,2,2);shadedErrorBar(xaxis,mForce_All(t),semForce_All(t),{'LineWidth',3,'Color',[.1 .1 .1]},1);",
Force_Scripts/1BehavioralData/Forces_within.m,Forces_within.m,Behavioral force analysis / Figure 1,33,true,Forces_within,function,Get baseline corrected traces,false,,false,false,true,true,false,false,false,,,,,,,,"figure(Subj);subplot(2,1,1);plot(xaxis, Force_al(:,t),'k');subplot(2,1,2);shadedErrorBar(xaxis,mForce(t),semForce(t),{'LineWidth',3,'Color',[.1 .1 .1]},1);",
Force_Scripts/1BehavioralData/GetEvents_HC.m,GetEvents_HC.m,Behavioral force analysis / Figure 1,30,false,,script,Import from csv and save as mat.,false,,false,false,true,false,false,true,false,/Users/gro8s/Documents/Post-doc2/Analyses/Data/HC/RLForce/Behavioral/;/Users/gro8s/Documents/Post-doc2/Analyses/Scripts/General,,"% Import from csv and save as mat.;save([path,'mat_files/',sprintf(Subjectlist{z_subj}),'.mat'],'M');;save([path,'mat_files/',sprintf(Subjectlist{z_subj}),'_events.mat'],'Events');","Mm = importfile([path, 'csv_files/', Pfile.name]);",,"Mm = importfile([path, 'csv_files/', Pfile.name]);;/Users/gro8s/Documents/Post-doc2/Analyses/Data/HC/RLForce/Behavioral/;/Users/gro8s/Documents/Post-doc2/Analyses/Scripts/General;Kont01;Kont02;Kont03;Kont04;Kont06;Kont07;Kont08;Kont09;Kont10;Kont11;Kont12;Kont13;Kont14","% Import from csv and save as mat.;save([path,'mat_files/',sprintf(Subjectlist{z_subj}),'.mat'],'M');;save([path,'mat_files/',sprintf(Subjectlist{z_subj}),'_events.mat'],'Events');",,
Force_Scripts/1BehavioralData/GetEvents_PD.m,GetEvents_PD.m,Behavioral force analysis / Figure 1,29,false,,script,Import from csv and save as mat.,false,,false,false,true,false,false,true,false,/Users/gro8s/Documents/Post-doc2/Analyses/Data/PD/RLForce/Behavioral/;/Users/gro8s/Documents/Post-doc2/Analyses/Scripts/General,,"% Import from csv and save as mat.;save([path,'mat_files/',sprintf(Subjectlist{z_subj}),'.mat'],'M');;save([path,'mat_files/',sprintf(Subjectlist{z_subj}),'_events.mat'],'Events');","M = importfile([path, 'csv_files/', Pfile.name]);",,"M = importfile([path, 'csv_files/', Pfile.name]);;/Users/gro8s/Documents/Post-doc2/Analyses/Data/PD/RLForce/Behavioral/;/Users/gro8s/Documents/Post-doc2/Analyses/Scripts/General;PD11;PD12;PD13;PD14;PD15;PD16;PD17;PD18;PD19;PD20;PD21;PD22;PD23","% Import from csv and save as mat.;save([path,'mat_files/',sprintf(Subjectlist{z_subj}),'.mat'],'M');;save([path,'mat_files/',sprintf(Subjectlist{z_subj}),'_events.mat'],'Events');",,
Force_Scripts/1BehavioralData/GetForce_HC.m,GetForce_HC.m,Behavioral force analysis / Figure 1,108,false,,script,Read event file from PsychoPy,false,,false,false,true,true,false,true,false,/Users/gro8s/Documents/Post-doc2/Analyses/Data/HC/RLForce/Behavioral/SecondLevel/;/Users/gro8s/Documents/Post-doc2/Analyses/Data/HC/RLForce/Behavioral/mat_files/;/Users/gro8s/Documents/Post-doc2/Analyses/Data/HC/RLForce/Force/mat_files/,"load(FileName);;load([Eventpath,sprintf(Subjectlist{Subj}),'_Newevents.mat']);","savefiles=1; % save files?;% save mean values;%Make matrix with events and force measures. Also save triggers at peak;save([Eventpath,sprintf(Subjectlist{Subj}),'_ForceEvents.mat'],'EventsPeakForce_valid', 'EventsPeakForce');;save([DirName,sprintf(Subjectlist{Subj}),'_ForceTrials.mat'],'RespTrialb');;%save 2nd level behavioral measures;save([Eventpath2,'HC_Behavior.mat'],'Acc_S','Valuesum_S','mForce_All','semForce_All','PeakForcem','PeakForceRatem','MinForceRatem','AUCForcem','PFY','RT','ActA', 'ActA_sem', 'Ac...",,,"load(FileName);;load([Eventpath,sprintf(Subjectlist{Subj}),'_Newevents.mat']);;/Users/gro8s/Documents/Post-doc2/Analyses/Data/HC/RLForce/Force/mat_files/;/Users/gro8s/Documents/Post-doc2/Analyses/Data/HC/RLForce/Behavioral/mat_files/;/Users/gro8s/Documents/Post-doc2/Analyses/Data/HC/RLForce/Behavioral/SecondLevel/;Kont01;Kont02;Kont03;Kont04;Kont06;Kont07;Kont08;Kont09;Kont10;Kont11;Kont12;Kont13","savefiles=1; % save files?;% save mean values;%Make matrix with events and force measures. Also save triggers at peak;save([Eventpath,sprintf(Subjectlist{Subj}),'_ForceEvents.mat'],'EventsPeakForce_valid', 'EventsPeakForce');;save([DirName,sprintf(Subjectlist{Subj}),'_ForceTrials.mat'],'RespTrialb');;%save 2nd level behavioral measures;save([Eventpath2,'HC_Behavior.mat'],'Acc_S','Valuesum_S','mForce_All','semForce_All','PeakForcem','PeakForceRatem','MinForceRatem','AUCForcem','PFY','RT','ActA', 'ActA_sem', 'Ac...",plotforce=0; % Plot the force across and within subjects? Then set to 1.,
Force_Scripts/1BehavioralData/GetForce_PD.m,GetForce_PD.m,Behavioral force analysis / Figure 1,142,false,,script,Read event file from PsychoPy,false,,false,false,true,true,false,true,false,/Users/gro8s/Documents/BayesianStats/Rethinking/Force_nt.csv;/Users/gro8s/Documents/Post-doc2/Analyses/Data/PD/RLForce/Behavioral/SecondLevel/;/Users/gro8s/Documents/Post-doc2/Analyses/Data/PD/RLForce/Behavioral/mat_files/;/Users/gro8s/Documents/Post-doc2/Analyses/Data/PD/RLForce/Force/mat_files/,"load(FileName);;load([Eventpath,sprintf(Subjectlist{Subj}),'_Newevents.mat']);","savefiles=1; % save files?;% save mean values;%Make matrix with events and force measures. Also save triggers at peak;% save single trials for regression with LFP;save([Eventpath,sprintf(Subjectlist{Subj}),'_ForceEvents.mat'],'EventsPeakForce_valid', 'EventsPeakForce');;save([DirName,sprintf(Subjectlist{Subj}),'_ForceTrials.mat'],'RespTrialb');;%save 2nd level behavioral measures;save([Eventpath2,'PD_Behavior.mat'],'Acc_S','Valuesum_S','mForce_All','semForce_All','PeakForcem','PeakForceRatem','MinForceRatem','AUCForcem','PFY','RT','ActA', 'ActA_sem', 'Ac...;%save single trial measures",,"writetable(Matrix_nt,'/Users/gro8s/Documents/BayesianStats/Rethinking/Force_nt.csv');","load(FileName);;load([Eventpath,sprintf(Subjectlist{Subj}),'_Newevents.mat']);;/Users/gro8s/Documents/Post-doc2/Analyses/Data/PD/RLForce/Force/mat_files/;/Users/gro8s/Documents/Post-doc2/Analyses/Data/PD/RLForce/Behavioral/mat_files/;/Users/gro8s/Documents/Post-doc2/Analyses/Data/PD/RLForce/Behavioral/SecondLevel/;PD11;PD12;PD13;PD14;PD15;PD16;PD17;PD18;PD19;PD20;PD21;PD22","savefiles=1; % save files?;% save mean values;%Make matrix with events and force measures. Also save triggers at peak;% save single trials for regression with LFP;save([Eventpath,sprintf(Subjectlist{Subj}),'_ForceEvents.mat'],'EventsPeakForce_valid', 'EventsPeakForce');;save([DirName,sprintf(Subjectlist{Subj}),'_ForceTrials.mat'],'RespTrialb');;%save 2nd level behavioral measures;save([Eventpath2,'PD_Behavior.mat'],'Acc_S','Valuesum_S','mForce_All','semForce_All','PeakForcem','PeakForceRatem','MinForceRatem','AUCForcem','PFY','RT','ActA', 'ActA_sem', 'Ac...;%save single trial measures;writetable(Matrix_nt,'/Users/gro8s/Documents/BayesianStats/Rethinking/Force_nt.csv');",plotforce=0; % Plot the force across and within subjects? Then set to 1.,
