caller_relative_path,caller_function_or_script,dependency_name,dependency_type_guess,dependency_file_found_in_package,dependency_relative_path_if_found,evidence_line_excerpt_short,notes
Force_Scripts/1BehavioralData/CompareDemographicsLevodopaMVC.m,CompareDemographicsLevodopaMVC,computeCohen_d,downloaded_helper,false,,"d_Age = computeCohen_d(PD_Age, HC_Age);",helper_expected_but_file_missing
Force_Scripts/1BehavioralData/CompareDemographicsLevodopaMVC.m,CompareDemographicsLevodopaMVC,fishertest,unknown,false,,[h_gender p_gender]=fishertest([5 11; 2 14]),
Force_Scripts/1BehavioralData/CompareDemographicsLevodopaMVC.m,CompareDemographicsLevodopaMVC,mean,MATLAB_builtin_or_toolbox,false,,mean(PD_Age);,
Force_Scripts/1BehavioralData/CompareDemographicsLevodopaMVC.m,CompareDemographicsLevodopaMVC,std,MATLAB_builtin_or_toolbox,false,,std(PD_Age);,
Force_Scripts/1BehavioralData/CompareDemographicsLevodopaMVC.m,CompareDemographicsLevodopaMVC,ttest,statistics_toolbox,false,,"[h_LD, p_LD, ci_LD, stats_LD]=ttest(OFF, ON)",
Force_Scripts/1BehavioralData/CompareDemographicsLevodopaMVC.m,CompareDemographicsLevodopaMVC,ttest2,statistics_toolbox,false,,"[h_Age, p_Age, ci_Age, stats_Age]=ttest2(PD_Age, HC_Age);",
Force_Scripts/1BehavioralData/ExtractData.m,ExtractData,A,unknown,false,,"A(:,[1:5 7])=M(:,[7:11 6]);",
Force_Scripts/1BehavioralData/ExtractData.m,ExtractData,M,unknown,false,,"A(:,[1:5 7])=M(:,[7:11 6]);",
Force_Scripts/1BehavioralData/ExtractData.m,ExtractData,ones,MATLAB_builtin_or_toolbox,false,,"Valid=ones(100,1);",
Force_Scripts/1BehavioralData/ExtractData.m,ExtractData,zeros,MATLAB_builtin_or_toolbox,false,,"A=zeros(100,7);",
Force_Scripts/1BehavioralData/ExtractData_HC.m,ExtractData_HC,A,unknown,false,,"A(:,[1:5 7])=M(:,[19:23 18]);",
Force_Scripts/1BehavioralData/ExtractData_HC.m,ExtractData_HC,M,unknown,false,,"A(:,[1:5 7])=M(:,[19:23 18]);",
Force_Scripts/1BehavioralData/ExtractData_HC.m,ExtractData_HC,ones,MATLAB_builtin_or_toolbox,false,,"Valid=ones(100,1);",
Force_Scripts/1BehavioralData/ExtractData_HC.m,ExtractData_HC,zeros,MATLAB_builtin_or_toolbox,false,,"A=zeros(100,7);",
Force_Scripts/1BehavioralData/Forceparameters.m,Forceparameters,AUCForce,unknown,false,,"AUCForce(i)=trapz((RespTrial(i,1*newSR:end))-baseline);% Go to 2.5s postGo",
Force_Scripts/1BehavioralData/Forceparameters.m,Forceparameters,Events,unknown,false,,"Valid = Events(:,6);",
Force_Scripts/1BehavioralData/Forceparameters.m,Forceparameters,Events_valid,unknown,false,,"Events_valid(Valid==0,:)=[];",
Force_Scripts/1BehavioralData/Forceparameters.m,Forceparameters,figure,MATLAB_builtin_or_toolbox,false,,figure(1);,
Force_Scripts/1BehavioralData/Forceparameters.m,Forceparameters,gradient,unknown,false,,"PeakForceRate(i)=max(gradient(RespTrial(i,1:TimeToMax(i))));",
