model_name,feature_set_name,validation_mode,tau_ms,median_pearson,median_spearman,beta_baseline_median_pearson,delta_vs_beta,delta_vs_shuffled,delta_vs_class_prior,architecture_value_interpretation
class_prior_baseline,none,LOSO_cross_subject,200.0,0.01007697691414166,0.007683608205558578,0.3314097863776829,-0.32133280946354126,0.004520105634724106,0.0,architecture not justified beyond simple beta baseline
class_prior_baseline,none,LOSO_cross_subject,500.0,0.03382984837744517,0.019271392388244598,0.3314007885441205,-0.2975709401666753,0.006366061825645253,0.0,architecture not justified beyond simple beta baseline
class_prior_baseline,none,LOSO_cross_subject,800.0,0.053557643683248446,0.03567286982719246,0.32352123516399656,-0.2699635914807481,0.005083432901218751,0.0,architecture not justified beyond simple beta baseline
class_prior_baseline,none,LOSO_cross_subject,1500.0,0.08880734651090891,0.05980043083703991,0.29951281223075915,-0.21070546571985024,0.0032801342788033178,0.0,architecture not justified beyond simple beta baseline
class_prior_baseline,none,LOSO_cross_subject,3000.0,0.1487378883251577,0.11638376809167883,0.25769404330203166,-0.10895615497687397,-0.0019104545926943162,0.0,architecture not justified beyond simple beta baseline
class_prior_baseline,none,LOSO_cross_subject,5000.0,0.20574221486832028,0.17675842209002676,0.2418910685290822,-0.036148853660761926,-0.0015755543199676703,0.0,architecture not justified beyond simple beta baseline
shuffled_label_baseline,phase6a0_selected96_surrogate,LOSO_cross_subject,200.0,0.005556871279417554,-0.009626090686954091,0.3314097863776829,-0.32585291509826536,0.0,-0.004520105634724106,architecture not justified beyond simple beta baseline
shuffled_label_baseline,phase6a0_selected96_surrogate,LOSO_cross_subject,500.0,0.027463786551799915,-0.007157632440177286,0.3314007885441205,-0.30393700199232054,0.0,-0.006366061825645253,architecture not justified beyond simple beta baseline
shuffled_label_baseline,phase6a0_selected96_surrogate,LOSO_cross_subject,800.0,0.048474210782029695,0.0012655074489462902,0.32352123516399656,-0.2750470243819669,0.0,-0.005083432901218751,architecture not justified beyond simple beta baseline
shuffled_label_baseline,phase6a0_selected96_surrogate,LOSO_cross_subject,1500.0,0.08552721223210559,0.024248219155855472,0.29951281223075915,-0.21398559999865358,0.0,-0.0032801342788033178,architecture not justified beyond simple beta baseline
shuffled_label_baseline,phase6a0_selected96_surrogate,LOSO_cross_subject,3000.0,0.150648342917852,0.06819773543257907,0.25769404330203166,-0.10704570038417965,0.0,0.0019104545926943162,architecture not justified beyond simple beta baseline
shuffled_label_baseline,phase6a0_selected96_surrogate,LOSO_cross_subject,5000.0,0.20731776918828795,0.0965205064140409,0.2418910685290822,-0.034573299340794256,0.0,0.0015755543199676703,architecture not justified beyond simple beta baseline
beta_feature_baseline,beta_like,LOSO_cross_subject,200.0,0.3314097863776829,0.32380561885748416,0.3314097863776829,0.0,0.32585291509826536,0.32133280946354126,architecture not justified beyond simple beta baseline
beta_feature_baseline,beta_like,LOSO_cross_subject,500.0,0.3314007885441205,0.3257119727243568,0.3314007885441205,0.0,0.30393700199232054,0.2975709401666753,architecture not justified beyond simple beta baseline
beta_feature_baseline,beta_like,LOSO_cross_subject,800.0,0.32352123516399656,0.3224248737785843,0.32352123516399656,0.0,0.2750470243819669,0.2699635914807481,architecture not justified beyond simple beta baseline
beta_feature_baseline,beta_like,LOSO_cross_subject,1500.0,0.2991520057454802,0.29951281223075915,0.29951281223075915,0.0,0.21398559999865358,0.21070546571985024,architecture not justified beyond simple beta baseline
beta_feature_baseline,beta_like,LOSO_cross_subject,3000.0,0.25769404330203166,0.2506732060384579,0.25769404330203166,0.0,0.10704570038417965,0.10895615497687397,architecture not justified beyond simple beta baseline
beta_feature_baseline,beta_like,LOSO_cross_subject,5000.0,0.2418910685290822,0.21289416333514638,0.2418910685290822,0.0,0.034573299340794256,0.036148853660761926,architecture not justified beyond simple beta baseline
phase6a0_reproduction_or_surrogate,phase6a0_selected96_surrogate,LOSO_cross_subject,200.0,0.19680417659263355,0.19226150750196677,0.3314097863776829,-0.13460560978504937,0.191247305313216,0.18672719967849188,architecture not justified beyond simple beta baseline
phase6a0_reproduction_or_surrogate,phase6a0_selected96_surrogate,LOSO_cross_subject,500.0,0.2122213227524968,0.21335911708065353,0.3314007885441205,-0.11804167146346695,0.1858953305288536,0.17952926870320834,architecture not justified beyond simple beta baseline
phase6a0_reproduction_or_surrogate,phase6a0_selected96_surrogate,LOSO_cross_subject,800.0,0.22253337618066837,0.22765379788247858,0.32352123516399656,-0.09586743728151798,0.1791795871004489,0.17409615419923014,architecture not justified beyond simple beta baseline
phase6a0_reproduction_or_surrogate,phase6a0_selected96_surrogate,LOSO_cross_subject,1500.0,0.23286749752737257,0.24588642238033404,0.29951281223075915,-0.053626389850425116,0.16035921014822846,0.15707907586942513,architecture not justified beyond simple beta baseline
phase6a0_reproduction_or_surrogate,phase6a0_selected96_surrogate,LOSO_cross_subject,3000.0,0.2594091971787631,0.259627298827642,0.25769404330203166,0.0019332555256103556,0.10897895590979001,0.11088941050248433,architecture not justified beyond simple beta baseline
phase6a0_reproduction_or_surrogate,phase6a0_selected96_surrogate,LOSO_cross_subject,5000.0,0.2811930473186707,0.2726080557709475,0.2418910685290822,0.039301978789588465,0.07387527813038272,0.07545083245035039,modest improvement over beta baseline
numpy_ridge_fallback,compact_deployable,LOSO_cross_subject,200.0,0.19106464205103996,0.1847178928905012,0.3314097863776829,-0.14034514432664297,0.1855077707716224,0.1809876651368983,architecture not justified beyond simple beta baseline
numpy_ridge_fallback,compact_deployable,LOSO_cross_subject,500.0,0.19764740310697337,0.1967021640357293,0.3314007885441205,-0.1337533854371471,0.17018361655517344,0.1638175547295282,architecture not justified beyond simple beta baseline
numpy_ridge_fallback,compact_deployable,LOSO_cross_subject,800.0,0.2066554822195147,0.2093653373505858,0.32352123516399656,-0.11415589781341076,0.1608911265685561,0.15580769366733735,architecture not justified beyond simple beta baseline
numpy_ridge_fallback,compact_deployable,LOSO_cross_subject,1500.0,0.2201934119488783,0.22172663179795699,0.29951281223075915,-0.07778618043280217,0.1361994195658514,0.13291928528704808,architecture not justified beyond simple beta baseline
numpy_ridge_fallback,compact_deployable,LOSO_cross_subject,3000.0,0.2287065943379265,0.21666004433078168,0.25769404330203166,-0.028987448964105156,0.0780582514200745,0.07996870601276881,architecture not justified beyond simple beta baseline
numpy_ridge_fallback,compact_deployable,LOSO_cross_subject,5000.0,0.2425154943543641,0.21398260906823963,0.2418910685290822,0.0006244258252818824,0.03519772516607614,0.03677327948604381,architecture not justified beyond simple beta baseline
numpy_ridge_fallback,phase5_2c_minimum_sufficient_if_found,LOSO_cross_subject,200.0,0.23661147893712037,0.19460469536566716,0.3314097863776829,-0.09479830744056256,0.2310546076577028,0.2265345020229787,architecture not justified beyond simple beta baseline
numpy_ridge_fallback,phase5_2c_minimum_sufficient_if_found,LOSO_cross_subject,500.0,0.1916594718977811,0.18133206661712065,0.3314007885441205,-0.13974131664633938,0.16419568534598117,0.15782962352033592,architecture not justified beyond simple beta baseline
numpy_ridge_fallback,phase5_2c_minimum_sufficient_if_found,LOSO_cross_subject,800.0,0.16900278513105732,0.16607316730418628,0.32352123516399656,-0.15451845003293924,0.12052857434902763,0.11544514144780887,architecture not justified beyond simple beta baseline
numpy_ridge_fallback,phase5_2c_minimum_sufficient_if_found,LOSO_cross_subject,1500.0,0.14566672808757936,0.1412253665546097,0.29951281223075915,-0.1538460841431798,0.060139515855473766,0.05685938157667045,architecture not justified beyond simple beta baseline
numpy_ridge_fallback,phase5_2c_minimum_sufficient_if_found,LOSO_cross_subject,3000.0,0.14726732791969138,0.12215758047925024,0.25769404330203166,-0.11042671538234028,-0.0033810149981606252,-0.001470560405466309,architecture not justified beyond simple beta baseline
numpy_ridge_fallback,phase5_2c_minimum_sufficient_if_found,LOSO_cross_subject,5000.0,0.18057065954122747,0.11770262307203885,0.2418910685290822,-0.061320408987854735,-0.02674710964706048,-0.02517155532709281,architecture not justified beyond simple beta baseline
sklearn_ridge_or_sgd,all_allowed_phase6a0,LOSO_cross_subject,200.0,0.8578298242422082,0.8444838238882553,0.3314097863776829,0.5264200378645253,0.8522729529627907,0.8477528473280665,meaningful deployable-model improvement over beta baseline
sklearn_ridge_or_sgd,all_allowed_phase6a0,LOSO_cross_subject,500.0,0.8603206822894904,0.8554707600911584,0.3314007885441205,0.52891989374537,0.8328568957376905,0.8264908339120453,meaningful deployable-model improvement over beta baseline
sklearn_ridge_or_sgd,all_allowed_phase6a0,LOSO_cross_subject,800.0,0.8690849705915304,0.8638774759981767,0.32352123516399656,0.5455637354275339,0.8206107598095007,0.815527326908282,meaningful deployable-model improvement over beta baseline
sklearn_ridge_or_sgd,all_allowed_phase6a0,LOSO_cross_subject,1500.0,0.8788920342951969,0.876722666142334,0.29951281223075915,0.5793792220644378,0.7933648220630913,0.790084687784288,meaningful deployable-model improvement over beta baseline
sklearn_ridge_or_sgd,all_allowed_phase6a0,LOSO_cross_subject,3000.0,0.884640719677829,0.8826054459618329,0.25769404330203166,0.6269466763757974,0.733992376759977,0.7359028313526713,meaningful deployable-model improvement over beta baseline
sklearn_ridge_or_sgd,all_allowed_phase6a0,LOSO_cross_subject,5000.0,0.8874306350648333,0.8760648275579566,0.2418910685290822,0.6455395665357511,0.6801128658765454,0.681688420196513,meaningful deployable-model improvement over beta baseline
sklearn_logistic_l2_balanced,top_k_train_only_50,LOSO_cross_subject,200.0,0.8428637032956579,0.8305236515141479,0.3314097863776829,0.5114539169179749,0.8373068320162403,0.8327867263815162,meaningful deployable-model improvement over beta baseline
sklearn_logistic_l2_balanced,top_k_train_only_50,LOSO_cross_subject,500.0,0.8489885981851177,0.8469102525864598,0.3314007885441205,0.5175878096409973,0.8215248116333178,0.8151587498076726,meaningful deployable-model improvement over beta baseline
sklearn_logistic_l2_balanced,top_k_train_only_50,LOSO_cross_subject,800.0,0.8588631527244032,0.855912809811042,0.32352123516399656,0.5353419175604066,0.8103889419423734,0.8053055090411547,meaningful deployable-model improvement over beta baseline
sklearn_logistic_l2_balanced,top_k_train_only_50,LOSO_cross_subject,1500.0,0.8727973619385305,0.8729722577461959,0.29951281223075915,0.5734594455154367,0.7874450455140903,0.784164911235287,meaningful deployable-model improvement over beta baseline
sklearn_logistic_l2_balanced,top_k_train_only_50,LOSO_cross_subject,3000.0,0.8784787789328838,0.8782487067965381,0.25769404330203166,0.6207847356308522,0.7278304360150318,0.7297408906077262,meaningful deployable-model improvement over beta baseline
sklearn_logistic_l2_balanced,top_k_train_only_50,LOSO_cross_subject,5000.0,0.879279408245945,0.8711156160241406,0.2418910685290822,0.6373883397168627,0.671961639057657,0.6735371933776246,meaningful deployable-model improvement over beta baseline
numpy_ridge_fallback,top_k_train_only_25,LOSO_cross_subject,200.0,0.7772195655083753,0.7678710786863062,0.3314097863776829,0.4458097791306924,0.7716626942289578,0.7671425885942337,meaningful deployable-model improvement over beta baseline
numpy_ridge_fallback,top_k_train_only_25,LOSO_cross_subject,500.0,0.7930804313883033,0.7887477227425109,0.3314007885441205,0.46167964284418284,0.7656166448365034,0.7592505830108581,meaningful deployable-model improvement over beta baseline
numpy_ridge_fallback,top_k_train_only_25,LOSO_cross_subject,800.0,0.8196070841918647,0.8149754012234016,0.32352123516399656,0.4960858490278681,0.7711328734098349,0.7660494405086162,meaningful deployable-model improvement over beta baseline
numpy_ridge_fallback,top_k_train_only_25,LOSO_cross_subject,1500.0,0.8580316226884095,0.855521799243826,0.29951281223075915,0.5585188104576504,0.7725044104563039,0.7692242761775006,meaningful deployable-model improvement over beta baseline
numpy_ridge_fallback,top_k_train_only_25,LOSO_cross_subject,3000.0,0.8859560809818909,0.886674663602947,0.25769404330203166,0.6289806203009154,0.736026320685095,0.7379367752777893,meaningful deployable-model improvement over beta baseline
numpy_ridge_fallback,top_k_train_only_25,LOSO_cross_subject,5000.0,0.8966496756987304,0.8956807248550316,0.2418910685290822,0.6547586071696483,0.6893319065104425,0.6909074608304102,meaningful deployable-model improvement over beta baseline
