row_type,validation_mode,model_name,feature_set_name,tau_ms,subject_id,n_rows,positive_fraction,pearson_burden,spearman_burden,rmse_burden,mae_burden,auroc_label,auprc_label,brier_score,calibration_slope,calibration_intercept,high_burden_balanced_accuracy,timing_confidence,continuity_class,median_pearson,median_spearman,iqr_pearson,iqr_spearman,n_valid_subjects,n_high_subjects_r_ge_0_5,n_moderate_subjects_r_0_3_to_0_5,n_low_subjects_r_le_0_2,beats_beta_by,beats_shuffled_by,beats_class_prior_by,deployable,offline_ceiling,notes
subject,LOSO_cross_subject,class_prior_baseline,none,200.0,sub-0cGdk9,30987,0.4647110104560852,0.015102431035332863,0.010470081495419888,0.38493518278454275,0.3501159224778787,0.5,0.46471100784199826,0.2492338439920699,0.8652128293577372,0.10075864023493836,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,200.0,sub-2IU8mi,37666,0.48210588097572327,0.006677449047173636,0.001558436584774695,0.3917815927457012,0.3573587136161487,0.5,0.48210587798014126,0.2513210919653211,0.389469571300986,0.32731696300464524,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,200.0,sub-2IhVOz,37219,0.43340766429901123,0.012633241113828304,-0.011132247340953702,0.390660209474099,0.35721798280800743,0.5,0.4334076681264945,0.24568622614969662,0.8509128087177154,0.08091795987834041,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,200.0,sub-6m9kB5,17836,0.34632205963134766,0.0352174548161772,0.10441649344584167,0.4190870671698454,0.3952221140390205,0.5,0.3463220453016371,0.2363968076460382,2.361233796123205,-0.6935635024346538,0.5015548163147238,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,200.0,sub-8RgPiG,43690,0.44419774413108826,-0.007010518839692284,-0.013378862510810243,0.41121406509873126,0.38080022004903524,0.5,0.44419775692378116,0.24688628613195093,-0.7255079105737334,0.7883879795511834,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,200.0,sub-AB2PeX,42042,0.45590123534202576,0.004677059882394809,-0.02687081457921653,0.39131550917972563,0.35707799790393935,0.5,0.4559012416155273,0.24822123930380965,0.287694023195498,0.35005962739372254,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,200.0,sub-AbzsOg,50023,0.5014293193817139,-0.00021806977113503353,-0.0036276686467054836,0.3951409492747156,0.35934858792336294,0.5,0.5014293425024489,0.25385792692377646,-0.013530668924036803,0.5260079289830525,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,200.0,sub-BYJoWR,33587,0.4076577126979828,0.013870008630004671,0.013129430966651754,0.3842739726570175,0.35125159084364693,0.5,0.40765772471491946,0.24291658752528664,0.917388303410942,0.023657869046862363,0.5016739219470687,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,200.0,sub-FIyfdR,25355,0.4698481559753418,5.249361900621567e-06,-0.0009090004895909857,0.38679490059648863,0.3521896143830343,0.5,0.4698481561822126,0.24982188152314097,0.0003257581373788537,0.4853878549784626,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,200.0,sub-FYbcap,34794,0.435506135225296,-0.0031135544060400247,0.002655979685325137,0.39013033856320545,0.35753936108248696,0.5,0.4355061217451285,0.24591690524194557,-0.19193650135681786,0.5436364985931357,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,200.0,sub-PuPVlx,47375,0.4629656970500946,0.0019425844703379717,0.012601809848558024,0.3902996701615525,0.3563888626407932,0.5,0.46296569920844327,0.2490517429141772,0.12988704658282244,0.42469907965682635,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
