row_type,validation_mode,model_name,feature_set_name,tau_ms,subject_id,n_rows,positive_fraction,pearson_burden,spearman_burden,rmse_burden,mae_burden,auroc_label,auprc_label,brier_score,calibration_slope,calibration_intercept,high_burden_balanced_accuracy,timing_confidence,continuity_class,median_pearson,median_spearman,iqr_pearson,iqr_spearman,n_valid_subjects,n_high_subjects_r_ge_0_5,n_moderate_subjects_r_0_3_to_0_5,n_low_subjects_r_le_0_2,beats_beta_by,beats_shuffled_by,beats_class_prior_by,deployable,offline_ceiling,notes
aggregate,LOSO_cross_subject,phase6a0_reproduction_or_surrogate,phase6a0_selected96_surrogate,200.0,ALL,690088,0.4424600824713707,0.19680417659263355,0.19226150750196677,0.385391071839813,0.34947792007524403,0.6192429387550953,0.5753480983370309,0.23797959343231767,1.1735402633386056,-0.08346499765834527,0.5779567884249441,non_definitive_event_matrix,event_or_candidate_matrix,0.19680417659263355,0.19226150750196677,0.09803516139335822,0.092330600023839,20,0,2,11,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
aggregate,LOSO_cross_subject,phase6a0_reproduction_or_surrogate,phase6a0_selected96_surrogate,500.0,ALL,690088,0.4424600824713707,0.2122213227524968,0.21335911708065353,0.31870124624293206,0.27498104853200844,0.6192429387550953,0.5753480983370309,0.23797959343231767,1.2336901043443462,-0.128712717045638,0.575966513950009,non_definitive_event_matrix,event_or_candidate_matrix,0.2122213227524968,0.21335911708065353,0.11164421310078267,0.10525952989641166,20,1,1,9,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
aggregate,LOSO_cross_subject,phase6a0_reproduction_or_surrogate,phase6a0_selected96_surrogate,800.0,ALL,690088,0.4424600824713707,0.22253337618066837,0.22765379788247858,0.28852190849561987,0.24496301628064895,0.6192429387550953,0.5753480983370309,0.23797959343231767,1.3208910440201846,-0.1653469618493542,0.5782029894003677,non_definitive_event_matrix,event_or_candidate_matrix,0.22253337618066837,0.22765379788247858,0.114905000733805,0.11316032514815683,20,1,2,9,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
aggregate,LOSO_cross_subject,phase6a0_reproduction_or_surrogate,phase6a0_selected96_surrogate,1500.0,ALL,690088,0.4424600824713707,0.23286749752737257,0.24588642238033404,0.2520378405910151,0.20937420897753525,0.6192429387550953,0.5753480983370309,0.23797959343231767,1.360517343162523,-0.17492972187889855,0.5812652546772494,non_definitive_event_matrix,event_or_candidate_matrix,0.23286749752737257,0.24588642238033404,0.11116927552804318,0.12042614132986407,20,1,4,6,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
aggregate,LOSO_cross_subject,phase6a0_reproduction_or_surrogate,phase6a0_selected96_surrogate,3000.0,ALL,690088,0.4424600824713707,0.2594091971787631,0.259627298827642,0.21710581998700987,0.17489869172499578,0.6192429387550953,0.5753480983370309,0.23797959343231767,1.2420381730358359,-0.11438096557816951,0.5810592988541657,non_definitive_event_matrix,event_or_candidate_matrix,0.2594091971787631,0.259627298827642,0.06698916210274111,0.1257856691996735,20,2,5,5,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
aggregate,LOSO_cross_subject,phase6a0_reproduction_or_surrogate,phase6a0_selected96_surrogate,5000.0,ALL,690088,0.4424600824713707,0.2811930473186707,0.2726080557709475,0.19712368716135917,0.15662697715845847,0.6192429387550953,0.5753480983370309,0.23797959343231767,1.0905187189331444,-0.04771552035027721,0.5753806462611897,non_definitive_event_matrix,event_or_candidate_matrix,0.2811930473186707,0.2726080557709475,0.06088557105513237,0.10774280034473932,20,2,6,3,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
aggregate,LOSO_cross_subject,numpy_ridge_fallback,compact_deployable,200.0,ALL,690088,0.4424600824713707,0.19106464205103996,0.1847178928905012,0.38453213644496936,0.34774780706149255,0.6134611337813909,0.5759812552647352,0.23807825593691895,1.1189632553230058,-0.014757106458121592,0.5783433282505912,non_definitive_event_matrix,event_or_candidate_matrix,0.19106464205103996,0.1847178928905012,0.0503388312755389,0.061100362307998396,20,0,0,15,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
aggregate,LOSO_cross_subject,numpy_ridge_fallback,compact_deployable,500.0,ALL,690088,0.4424600824713707,0.19764740310697337,0.1967021640357293,0.3199552396215377,0.2752149851070166,0.6134611337813909,0.5759812552647352,0.23807825593691895,1.1657143421838725,-0.019330206106706903,0.5717758348708544,non_definitive_event_matrix,event_or_candidate_matrix,0.19764740310697337,0.1967021640357293,0.07404926029733128,0.06681311760334369,20,0,0,12,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
aggregate,LOSO_cross_subject,numpy_ridge_fallback,compact_deployable,800.0,ALL,690088,0.4424600824713707,0.2066554822195147,0.2093653373505858,0.29141753202378545,0.2453308267874208,0.6134611337813909,0.5759812552647352,0.23807825593691895,1.2015197109833111,-0.04213878795522104,0.5737663852688377,non_definitive_event_matrix,event_or_candidate_matrix,0.2066554822195147,0.2093653373505858,0.08340289982151375,0.07356747200002436,20,0,2,8,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
aggregate,LOSO_cross_subject,numpy_ridge_fallback,compact_deployable,1500.0,ALL,690088,0.4424600824713707,0.2201934119488783,0.22172663179795699,0.2538751617325097,0.21008506427021156,0.6134611337813909,0.5759812552647352,0.23807825593691895,1.197396407277825,-0.053408194984074495,0.5699035833854209,non_definitive_event_matrix,event_or_candidate_matrix,0.2201934119488783,0.22172663179795699,0.09980132976241235,0.0898826572482117,20,0,2,7,,,,True,False,aggregate subject-level median; baseline deltas filled in beta_baseline_delta.csv
