column,role_guess,allowed_as_feature,leakage_risk,reason,feature_family_guess,notes
window_id,excluded non-feature,False,metadata,metadata-like column,nan,
subject_id,subject column,False,identity,subject identifier; keyword exclusion: subject_id,nan,
condition,block/proxy column,False,metadata,condition/block metadata,nan,
channel,excluded non-feature,False,metadata,metadata-like column,nan,
band_mode,excluded non-feature,False,metadata,metadata-like column,nan,
fif_path,suspicious leakage or metadata,False,metadata,metadata-like column; keyword exclusion: path,nan,
window_type,excluded non-feature,False,metadata,metadata-like column,nan,
negative_category,excluded non-feature,False,metadata,metadata-like column,nan,
target_label,target/label column,False,target,"target label; keyword exclusion: label,target",nan,
window_start_s,time/order column,False,time,time/order metadata,nan,
window_stop_s,time/order column,False,time,time/order metadata,nan,
window_duration_ms,allowed causal feature candidate,True,low,allowed by previous audit/metadata or feature-name heuristic,nan,
anchor_onset_s,suspicious leakage or metadata,False,high,keyword exclusion: onset,nan,
anchor_offset_s,suspicious leakage or metadata,False,high,keyword exclusion: offset,nan,
phase3_duration_ms,allowed causal feature candidate,True,low,allowed by previous audit/metadata or feature-name heuristic,nan,
threshold_source,excluded non-feature,False,metadata,metadata-like column,nan,
is_beta_active_channel,allowed causal feature candidate,True,metadata,metadata-like column; allowed by previous audit/metadata or feature-name heuristic,nan,
long_burst_category,excluded non-feature,False,low,no specific flag,nan,
provenance_status,excluded non-feature,False,metadata,metadata-like column,nan,
beta_local_baseline_ratio__h25__baseline1s__subtract_divide,allowed causal feature candidate,True,low,allowed by previous audit/metadata or feature-name heuristic; selected by Phase 6A.0 lower-bound estimator,beta_local_baseline_ratio,
beta_local_baseline_ratio__h25__baseline1s__log_divide,allowed causal feature candidate,True,low,allowed by previous audit/metadata or feature-name heuristic; selected by Phase 6A.0 lower-bound estimator,beta_local_baseline_ratio,
beta_local_baseline_ratio__h25__baseline1s__z_score_MAD,suspicious leakage or metadata,False,medium,keyword exclusion: score; selected by Phase 6A.0 lower-bound estimator; precomputed normalization-like name; cannot undo preprocessing scope,beta_local_baseline_ratio,
beta_local_baseline_ratio__h25__baseline2s__subtract_divide,allowed causal feature candidate,True,low,allowed by previous audit/metadata or feature-name heuristic; selected by Phase 6A.0 lower-bound estimator,beta_local_baseline_ratio,
beta_local_baseline_ratio__h25__baseline2s__log_divide,allowed causal feature candidate,True,low,allowed by previous audit/metadata or feature-name heuristic; selected by Phase 6A.0 lower-bound estimator,beta_local_baseline_ratio,
beta_local_baseline_ratio__h25__baseline2s__z_score_MAD,suspicious leakage or metadata,False,medium,keyword exclusion: score; selected by Phase 6A.0 lower-bound estimator; precomputed normalization-like name; cannot undo preprocessing scope,beta_local_baseline_ratio,
beta_local_baseline_ratio__h25__baseline5s__subtract_divide,allowed causal feature candidate,True,low,allowed by previous audit/metadata or feature-name heuristic; selected by Phase 6A.0 lower-bound estimator,beta_local_baseline_ratio,
beta_local_baseline_ratio__h25__baseline5s__log_divide,allowed causal feature candidate,True,low,allowed by previous audit/metadata or feature-name heuristic; selected by Phase 6A.0 lower-bound estimator,beta_local_baseline_ratio,
beta_local_baseline_ratio__h25__baseline5s__z_score_MAD,suspicious leakage or metadata,False,medium,keyword exclusion: score; selected by Phase 6A.0 lower-bound estimator; precomputed normalization-like name; cannot undo preprocessing scope,beta_local_baseline_ratio,
beta_local_baseline_ratio__h25__baseline10s__subtract_divide,allowed causal feature candidate,True,low,allowed by previous audit/metadata or feature-name heuristic; selected by Phase 6A.0 lower-bound estimator,beta_local_baseline_ratio,
beta_local_baseline_ratio__h25__baseline10s__log_divide,allowed causal feature candidate,True,low,allowed by previous audit/metadata or feature-name heuristic; selected by Phase 6A.0 lower-bound estimator,beta_local_baseline_ratio,
beta_local_baseline_ratio__h25__baseline10s__z_score_MAD,suspicious leakage or metadata,False,medium,keyword exclusion: score; selected by Phase 6A.0 lower-bound estimator; precomputed normalization-like name; cannot undo preprocessing scope,beta_local_baseline_ratio,
