n_true_events	n_alarms	true_positive_events	true_positive_alarms	false_positive_alarms	recall	precision	F1	fp_per_min_achieved	median_latency_ms	early_warning_candidate_latency_ms	one_alarm_per_burst_fraction	alarms_per_burst	fp_per_min_target	threshold	threshold_selection_mode	n_loso_folds	n_no_feasible_folds	per_subject_recall_median	per_subject_recall_iqr	per_subject_recall_min	per_subject_recall_max	analysis_subtask	tier	tier3_seed_count	strategy_id	param_id	scoring_definition	metric_induced_or_score_induced	selection_loso_safe	uses_oracle_labels_for_selection	support_status	qc_status	qc_reason	success_alarms_per_detected_burst	threshold_stability	threshold_stability_qc_reason	evaluation_mode	event_metric_qc_reason	target_fp_min	source_table	source_columns	source_lineage	config_hash	random_seed	uses_future_samples	uses_phase3_threshold	uses_phase3_duration_rule	uses_test_participant_statistics	tautology_risk_level	leakage_risk_level	SNN_compatible	DYNAP_candidate	mismatch_seed	per_subject_recall_p05_across_seeds
102088.0	5167.0	1996.0	2040.0	3127.0	0.019551759266515163	0.3948132378556222	0.0372584240242242	0.49434164308759965	149.99999999999858	-258.0000000000098	0.0191501449729645	0.05061319645795784	0.5	3.1401060309193296	train_subjects_only_per_LOSO_fold	20	0.0	0.003725898276603039	0.01487889532964506	0.0	0.24575036425449248	R1_alarm_reconstruction_headroom	tier1_continuous	0	A0_existing_stage_ef	baseline	S0_current_policy	score_to_alarm_reconstruction	True	False	proxy	warning	bounded LOSO-safe threshold selection over existing causal scores; strategy choice itself is posthoc analysis, not a deployed target	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,window timing,frozen event labels for evaluation only	Phase 5_2C pre-ADR bounded alarm reconstruction sweep	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True	NA	NA
102088.0	10267.0	3774.0	3834.0	6433.0	0.036968105947809735	0.37342943410928214	0.06727612881043155	1.0169810649128648	149.99999999999858	-272.50000000001376	0.03642935506621738	0.10057009638743045	1.0	2.379307761759552	train_subjects_only_per_LOSO_fold	20	0.0	0.01515292701807084	0.039360549079820395	0.0	0.28703254006799417	R1_alarm_reconstruction_headroom	tier1_continuous	0	A0_existing_stage_ef	baseline	S0_current_policy	score_to_alarm_reconstruction	True	False	proxy	warning	bounded LOSO-safe threshold selection over existing causal scores; strategy choice itself is posthoc analysis, not a deployed target	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,window timing,frozen event labels for evaluation only	Phase 5_2C pre-ADR bounded alarm reconstruction sweep	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True	NA	NA
102088.0	19625.0	7014.0	7105.0	12520.0	0.06870543060888645	0.36203821656050955	0.11549324861374471	1.9792636301428677	149.99999999999858	-278.5000000000082	0.06788261108063631	0.1922361100227255	2.0	1.8900374830503917	train_subjects_only_per_LOSO_fold	20	0.0	0.05564964334596416	0.06416044997403328	0.0005471207769115032	0.31471588149587176	R1_alarm_reconstruction_headroom	tier1_continuous	0	A0_existing_stage_ef	baseline	S0_current_policy	score_to_alarm_reconstruction	True	False	proxy	warning	bounded LOSO-safe threshold selection over existing causal scores; strategy choice itself is posthoc analysis, not a deployed target	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,window timing,frozen event labels for evaluation only	Phase 5_2C pre-ADR bounded alarm reconstruction sweep	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True	NA	NA
102088.0	44560.0	14679.0	14810.0	29750.0	0.14378771256171147	0.3323608617594255	0.2007331771414507	4.703122443829897	149.99999999999324	-290.4999999999962	0.1426024606222083	0.4364861687955489	5.0	1.2523293366288044	train_subjects_only_per_LOSO_fold	20	0.0	0.15825448124301408	0.06801469395548944	0.00588154835179866	0.3569694026226323	R1_alarm_reconstruction_headroom	tier1_continuous	0	A0_existing_stage_ef	baseline	S0_current_policy	score_to_alarm_reconstruction	True	False	proxy	warning	bounded LOSO-safe threshold selection over existing causal scores; strategy choice itself is posthoc analysis, not a deployed target	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,window timing,frozen event labels for evaluation only	Phase 5_2C pre-ADR bounded alarm reconstruction sweep	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True	NA	NA
102088.0	4855.0	1959.0	1989.0	2866.0	0.019189326855262128	0.4096807415036045	0.036661442404232025	0.4530806361013945	149.99999999997726	-253.75000000003212	0.01891505367917875	0.04755700963874304	0.5	2.7027831973840173	train_subjects_only_per_LOSO_fold	20	0.0	0.005132848200388557	0.015079778641258595	0.0	0.19378338999514327	R1_alarm_reconstruction_headroom	tier1_continuous	0	A1_leaky_evidence_integrator	tau150ms	S0_current_policy	score_to_alarm_reconstruction	True	False	proxy	warning	bounded LOSO-safe threshold selection over existing causal scores; strategy choice itself is posthoc analysis, not a deployed target	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,window timing,frozen event labels for evaluation only	Phase 5_2C pre-ADR bounded alarm reconstruction sweep	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True	NA	NA
102088.0	10198.0	3967.0	4022.0	6176.0	0.03885863176867017	0.3943910570700137	0.07074671836750718	0.9763524105241494	149.99999999997726	-272.5000000000364	0.03834926729880103	0.0998942089177964	1.0	2.0475969505758465	train_subjects_only_per_LOSO_fold	20	0.0	0.02133796253820784	0.038992172336121976	0.0	0.241864983001457	R1_alarm_reconstruction_headroom	tier1_continuous	0	A1_leaky_evidence_integrator	tau150ms	S0_current_policy	score_to_alarm_reconstruction	True	False	proxy	warning	bounded LOSO-safe threshold selection over existing causal scores; strategy choice itself is posthoc analysis, not a deployed target	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,window timing,frozen event labels for evaluation only	Phase 5_2C pre-ADR bounded alarm reconstruction sweep	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True	NA	NA
102088.0	19992.0	7419.0	7489.0	12503.0	0.07267259619152104	0.3745998399359744	0.1217295800151454	1.9765761316035364	149.99999999997726	-276.49999999999864	0.07201629966303581	0.19583104772353263	2.0	1.5839310727029363	train_subjects_only_per_LOSO_fold	20	0.0	0.06472106287661131	0.07259026650353459	0.000683900971139379	0.28071879553181156	R1_alarm_reconstruction_headroom	tier1_continuous	0	A1_leaky_evidence_integrator	tau150ms	S0_current_policy	score_to_alarm_reconstruction	True	False	proxy	warning	bounded LOSO-safe threshold selection over existing causal scores; strategy choice itself is posthoc analysis, not a deployed target	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,window timing,frozen event labels for evaluation only	Phase 5_2C pre-ADR bounded alarm reconstruction sweep	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True	NA	NA
102088.0	43915.0	15141.0	15253.0	28662.0	0.1483132199670872	0.3473300694523511	0.2078657861068176	4.531122537312689	149.99999999997726	-281.5000000000314	0.14726510461562572	0.4301680902750568	5.0	1.0768687206223246	train_subjects_only_per_LOSO_fold	20	0.0	0.1536676509150054	0.08246590013962522	0.017097524278484474	0.33633776091081596	R1_alarm_reconstruction_headroom	tier1_continuous	0	A1_leaky_evidence_integrator	tau150ms	S0_current_policy	score_to_alarm_reconstruction	True	False	proxy	warning	bounded LOSO-safe threshold selection over existing causal scores; strategy choice itself is posthoc analysis, not a deployed target	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,window timing,frozen event labels for evaluation only	Phase 5_2C pre-ADR bounded alarm reconstruction sweep	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True	NA	NA
102088.0	4996.0	1884.0	1920.0	3076.0	0.018454666562181646	0.3843074459567654	0.0352181377147887	0.4862791474696055	149.9999999999826	-257.750000000037	0.018131416033226235	0.048938170989734346	0.5	2.386113995012472	train_subjects_only_per_LOSO_fold	20	0.0	0.005132848200388557	0.017445154242467457	0.0	0.17484215638659542	R1_alarm_reconstruction_headroom	tier1_continuous	0	A1_leaky_evidence_integrator	tau300ms	S0_current_policy	score_to_alarm_reconstruction	True	False	proxy	warning	bounded LOSO-safe threshold selection over existing causal scores; strategy choice itself is posthoc analysis, not a deployed target	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,window timing,frozen event labels for evaluation only	Phase 5_2C pre-ADR bounded alarm reconstruction sweep	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True	NA	NA
102088.0	9969.0	3648.0	3696.0	6273.0	0.035733876655434524	0.3707493229009931	0.06518503391572933	0.9916869610132755	149.99999999997726	-254.00000000001222	0.035293080479586236	0.09765104615625735	1.0	1.8061852228733435	train_subjects_only_per_LOSO_fold	20	0.0	0.017585620860026796	0.03860769960928824	0.0	0.22680913064594463	R1_alarm_reconstruction_headroom	tier1_continuous	0	A1_leaky_evidence_integrator	tau300ms	S0_current_policy	score_to_alarm_reconstruction	True	False	proxy	warning	bounded LOSO-safe threshold selection over existing causal scores; strategy choice itself is posthoc analysis, not a deployed target	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,window timing,frozen event labels for evaluation only	Phase 5_2C pre-ADR bounded alarm reconstruction sweep	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True	NA	NA
