n_true_events	n_alarms	true_positive_events	true_positive_alarms	false_positive_alarms	recall	precision	F1	fp_per_min_achieved	median_latency_ms	early_warning_candidate_latency_ms	one_alarm_per_burst_fraction	alarms_per_burst	fp_per_min_target	threshold	threshold_selection_mode	n_loso_folds	n_no_feasible_folds	per_subject_recall_median	per_subject_recall_iqr	per_subject_recall_min	per_subject_recall_max	analysis_subtask	tier	scoring_definition	scoring_family	start_offset_s	stop_reference	stop_offset_s	committed_alarm_success_policy	metric_induced_or_score_induced	interpretation	selection_loso_safe	support_status	qc_status	qc_reason	success_alarms_per_detected_burst	threshold_stability	threshold_stability_qc_reason	evaluation_mode	event_metric_qc_reason	target_fp_min	source_table	source_columns	source_lineage	config_hash	random_seed	uses_future_samples	uses_phase3_threshold	uses_phase3_duration_rule	uses_test_participant_statistics	tautology_risk_level	leakage_risk_level	SNN_compatible	DYNAP_candidate
102088	5167	1996	2040	3127	0.019551759266515163	0.3948132378556222	0.0372584240242242	0.49434164308759965	149.99999999999858	-258.0000000000098	0.0191501449729645	0.05061319645795784	0.5	3.1401060309193296	train_subjects_only_per_LOSO_fold	20	0.0	0.003725898276603039	0.01487889532964506	0.0	0.24575036425449248	R2_scoring_tolerance_sensitivity	tier1_continuous	S0_current_policy	current_committed_interval	0.0	offset	0.0	True	metric_induced	current Stage F committed alarm scoring	True	proxy	ok	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	10267	3774	3834	6433	0.036968105947809735	0.37342943410928214	0.06727612881043155	1.0169810649128648	149.99999999999858	-272.50000000001376	0.03642935506621738	0.10057009638743045	1.0	2.379307761759552	train_subjects_only_per_LOSO_fold	20	0.0	0.01515292701807084	0.039360549079820395	0.0	0.28703254006799417	R2_scoring_tolerance_sensitivity	tier1_continuous	S0_current_policy	current_committed_interval	0.0	offset	0.0	True	metric_induced	current Stage F committed alarm scoring	True	proxy	ok	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	19625	7014	7105	12520	0.06870543060888645	0.36203821656050955	0.11549324861374471	1.9792636301428677	149.99999999999858	-278.5000000000082	0.06788261108063631	0.1922361100227255	2.0	1.8900374830503917	train_subjects_only_per_LOSO_fold	20	0.0	0.05564964334596416	0.06416044997403328	0.0005471207769115032	0.31471588149587176	R2_scoring_tolerance_sensitivity	tier1_continuous	S0_current_policy	current_committed_interval	0.0	offset	0.0	True	metric_induced	current Stage F committed alarm scoring	True	proxy	ok	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	44560	14679	14810	29750	0.14378771256171147	0.3323608617594255	0.2007331771414507	4.703122443829897	149.99999999999324	-290.4999999999962	0.1426024606222083	0.4364861687955489	5.0	1.2523293366288044	train_subjects_only_per_LOSO_fold	20	0.0	0.15825448124301408	0.06801469395548944	0.00588154835179866	0.3569694026226323	R2_scoring_tolerance_sensitivity	tier1_continuous	S0_current_policy	current_committed_interval	0.0	offset	0.0	True	metric_induced	current Stage F committed alarm scoring	True	proxy	ok	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
11652	4253	1517	1560	2693	0.13019224167524887	0.36679990594874207	0.19217407047592544	2.708458027642129	149.99999999999858	-271.50000000000284	0.1266735324407827	0.365001716443529	0.5	1.0	train_subjects_only_per_LOSO_fold	3	17.0	0.10815939278937381	0.07596802816088491	0.10061372512553468	0.2525497814473045	R2_scoring_tolerance_sensitivity	tier2_quantized	S0_current_policy	current_committed_interval	0.0	offset	0.0	True	metric_induced	current Stage F committed alarm scoring	True	proxy	ok	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	10507	3860	3920	6587	0.03781051641720868	0.37308461025982675	0.06866239517279474	1.0413266399162195	149.99999999999858	-275.49999999999966	0.037271765535616334	0.10292100932528798	1.0	0.9137254901960784	train_subjects_only_per_LOSO_fold	20	0.0	0.01632630510862269	0.036613161822121064	0.0	0.2889752306945119	R2_scoring_tolerance_sensitivity	tier2_quantized	S0_current_policy	current_committed_interval	0.0	offset	0.0	True	metric_induced	current Stage F committed alarm scoring	True	proxy	ok	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	19896	7094	7186	12710	0.06948906825483896	0.36117812625653395	0.11655371845106884	2.00930037852363	149.99999999999858	-280.50000000001774	0.06866624872658883	0.19489068254838962	2.0	0.803921568627451	train_subjects_only_per_LOSO_fold	20	0.0	0.05790323424025473	0.06498229118539084	0.0005471207769115032	0.32005828071879555	R2_scoring_tolerance_sensitivity	tier2_quantized	S0_current_policy	current_committed_interval	0.0	offset	0.0	True	metric_induced	current Stage F committed alarm scoring	True	proxy	ok	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	43880	14470	14600	29280	0.14174045921166054	0.33272561531449407	0.19879474650851564	4.6288210136248535	149.99999999999858	-289.49999999999676	0.14056500274273176	0.4298252488049526	5.0	0.6862745098039216	train_subjects_only_per_LOSO_fold	20	0.0	0.14917174737901778	0.08832971432279138	0.01176309670359732	0.3546015180265655	R2_scoring_tolerance_sensitivity	tier2_quantized	S0_current_policy	current_committed_interval	0.0	offset	0.0	True	metric_induced	current Stage F committed alarm scoring	True	proxy	ok	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	3278	286	286	2992	0.002801504584280229	0.087248322147651	0.005428696163847921	0.4729997429223211	-42.999999999992156	-256.00000000001444	0.002801504584280229	0.03210955254290416	0.5	3.523366251107714	train_subjects_only_per_LOSO_fold	20	0.0	0.0004426254968479986	0.000689907022464593	0.0	0.09373482272948033	R2_scoring_tolerance_sensitivity	tier1_continuous	S1_onset_tolerance_pm100ms	onset_tolerance	-0.1	onset	0.1	False	metric_induced	metric sensitivity only; widened onset tolerance is not a deployment claim	True	proxy	warning	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	6462	453	453	6009	0.004437348170206096	0.07010213556174559	0.008346384154767388	0.949951689578953	-46.500000000030184	-268.50000000000307	0.004437348170206096	0.06329833085181412	1.0	2.869508042533446	train_subjects_only_per_LOSO_fold	20	0.0	0.0010309283345187599	0.0019494672229859737	0.0	0.11559009227780476	R2_scoring_tolerance_sensitivity	tier1_continuous	S1_onset_tolerance_pm100ms	onset_tolerance	-0.1	onset	0.1	False	metric_induced	metric sensitivity only; widened onset tolerance is not a deployment claim	True	proxy	warning	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
